requirement_id,section,requirement,priority,acceptance_criteria,design_component,verification_method,test_case_id,test_status,test_evidence
BRD-023,6.3 Value model,The system shall expose every assumption as a user-adjustable control,Should,Each assumption is a dashboard slider bounded by its declared range,app.py :: sidebar sliders,Inspection,,Not automated,
BRD-024,6.3 Value model,The system shall validate modelled denial loss against a published external benchmark and fail visibly when outside it,Must,Calibration check compares modelled loss to the 3–5% of net patient revenue band; status is displayed and written to `outputs/calibration_check.csv`,src/analyze.py :: calibration_check,Automated UAT,TC-024,PASS,modelled loss 4.12% within 3%-5%
BRD-025,6.4 Reporting and benchmarking,"The system shall benchmark each payer against peer medians on denial, appeal, and overturn rate",Must,Percentile rank computed per payer for all three measures,src/analyze.py :: issuer_scorecard,Automated UAT,TC-025,PASS,152 payers benchmarked on 3 percentile measures
BRD-026,6.4 Reporting and benchmarking,The system shall identify priority appeal targets as payers that both deny and overturn above median,Should,Composite target score computed and rendered,src/analyze.py :: appeal_target_score,Automated UAT,TC-025,PASS,152 payers benchmarked on 3 percentile measures
BRD-027,6.4 Reporting and benchmarking,The system shall report denial rate by state,Should,State view present with issuer counts,src/analyze.py :: state_summary,Automated UAT,TC-027,PASS,30 states; denial rate 7.9%-32.0%
BRD-028,6.4 Reporting and benchmarking,"The system shall produce a prioritized action list assigning each root cause a rank, wave, and owner",Must,"`outputs/prioritization.csv` contains rank, wave, owner, and value for every root cause",src/analyze.py :: prioritize,Automated UAT,TC-028,PASS,9 root causes ranked across 3 waves
BRD-029,6.4 Reporting and benchmarking,The system shall deliver a Power BI ready dimensional model,Must,"Star schema exported with conformed dimensions, a Type 2 payer dimension, and DAX measure definitions; referential integrity passes",src/star_schema.py,Automated UAT,TC-029,PASS,"7 tables, referential integrity PASS, 6 SCD2 name changes tracked"
BRD-030,6.4 Reporting and benchmarking,The system shall allow the reader to rescale all findings to any provider claim volume,Should,Claim volume is a dashboard input; all outputs recompute,app.py :: claim volume input,Automated UAT,TC-030,PASS,"2x volume -> 2.000x opportunity (linear, as required)"
BRD-031,6.5 Constraint disclosure,"The system shall document data provenance including source, vintage, and known scope limitations",Must,"Provenance section names each source file, row count, and scope caveat",app.py :: Provenance,Automated UAT,TC-031,PASS,3 buckets scope-noted; DQ-010 logged; 5 plan years reconciled
NFR-01,7. Non-functional requirements,The full pipeline shall run end to end from a single command,Must,`python run_pipeline.py` completes with exit code 0,run_pipeline.py,Inspection,,Not automated,
NFR-02,7. Non-functional requirements,The pipeline shall complete within 5 minutes excluding downloads,Must,Measured runtime under 300s,run_pipeline.py timing,Inspection,,Not automated,
NFR-03,7. Non-functional requirements,The pipeline shall be reproducible from raw source without manual steps,Must,Fresh clone plus download produces identical outputs,run_pipeline.py,Inspection,,Not automated,
NFR-04,7. Non-functional requirements,The dashboard shall respond to an assumption change within 3 seconds,Must,Observed re-render under 3s,app.py :: st.cache_data,Inspection,,Not automated,
NFR-05,7. Non-functional requirements,No protected health information shall be used or stored,Must,All sources are public aggregate files; documented in provenance,docs/DATA_DICTIONARY.md :: provenance,Inspection,,Not automated,
NFR-06,7. Non-functional requirements,Every published figure shall be traceable to a source file and transformation,Must,Each output CSV names its inputs in the generating module docstring,module docstrings,Inspection,,Not automated,
